% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
77000	.1	r	0.0058637026305881435	0.4714132025469612	0.5118934356415655	0.9941362973520795	0.9938645103210032	0.977206857508645	0.1559090909090909	0.1559090909090909	0.6476363636363637	426.0	558.0	16.0	
78000	.1	r	0.0056828359749955286	0.47284387448115245	0.5135924978760749	0.9943171640077124	0.9929668316412563	0.9913163379862142	0.1544230769230769	0.1544230769230769	0.6394615384615384	429.0	557.0	14.0	
79000	.1	r	0.009754366008823187	0.47527562132100715	0.5146380746357729	0.9902456339736543	0.9851980524996572	0.8973448400023697	0.15339240506329113	0.15339240506329113	0.6324303797468355	425.0	562.0	13.0	
80000	.1	r	0.007971656792446909	0.47510928679667497	0.5119082923201953	0.9920283431902971	0.9879481629225056	0.9606413176674669	0.15245	0.1524375	0.630675	434.0	553.0	12.0	
81000	.1	r	0.010104332429601378	0.47682574034410397	0.510607654449411	0.9898956675531083	0.991976998744496	0.9622196601351857	0.15155555555555555	0.15155555555555555	0.6237901234567901	437.0	550.0	13.0	
82000	.1	r	0.007964430190507566	0.4754851821873885	0.5107985603085837	0.9920355697916631	0.9847205184868892	0.9618624704519769	0.1505609756097561	0.1505609756097561	0.6257195121951219	430.0	556.0	14.0	
83000	.1	r	2.3758279168619549E-4	0.47573503298861497	0.5093194802753594	0.9997624171906785	0.9993198408238873	0.9973196337157496	0.14950602409638555	0.14950602409638555	0.6189518072289156	443.0	545.0	12.0	
84000	.1	r	0.00693766387483762	0.47393473888864035	0.5047658405321916	0.9930623361072732	0.974803619399636	0.9867931379545007	0.14816666666666667	0.14816666666666667	0.6210595238095238	447.0	543.0	10.0	
85000	.1	r	0.017703470670789815	0.47527971956936726	0.5041534674134975	0.982296529310412	0.9951022924051849	0.9692607199296717	0.1481764705882353	0.14816470588235295	0.6170588235294118	428.0	561.0	10.0	
86000	.1	r	7.844138588009208E-4	0.4747128384616334	0.49627032470550403	0.9992155861220952	0.9997026894118113	0.9871784118531158	0.14703488372093024	0.14703488372093024	0.613453488372093	423.0	569.0	8.0	
87000	.1	r	6.650173486724814E-4	0.4746336322001222	0.49627032470550403	0.9993349826318256	0.9996927823233842	0.9995475732510173	0.145367816091954	0.145367816091954	0.6064022988505747	424.0	568.0	8.0	
88000	.1	r	0.0017331604961243199	0.47469129898008494	0.49627032470550403	0.9982668394830363	0.9997002182924337	0.9991432620604974	0.14375	0.14375	0.5996363636363636	425.0	567.0	8.0	
