% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
68000	false	NaN	0.38402061855670105	0.40136476426799006	NaN	0.9974226804123711	1.0	0.0	194.0	806.0	
69000	false	NaN	0.3869346733668342	0.40262172284644193	NaN	1.0	1.0	0.0	199.0	801.0	
70000	false	NaN	0.3855721393034826	0.4048811013767209	NaN	1.0	1.0	0.0	201.0	799.0	
71000	false	NaN	0.4086294416243655	0.412826899128269	NaN	1.0	0.9993773349937733	0.0	197.0	803.0	
72000	false	NaN	0.39528795811518325	0.4110012360939431	NaN	1.0	1.0	0.0	191.0	809.0	
73000	false	NaN	0.3716577540106952	0.40836408364083643	NaN	1.0	0.9993849938499385	0.0	187.0	813.0	
74000	false	NaN	0.3785310734463277	0.4161603888213852	NaN	1.0	0.9993924665856622	0.0	177.0	823.0	
75000	false	NaN	0.3901098901098901	0.41687041564792177	NaN	1.0	1.0	0.0	182.0	818.0	
76000	false	NaN	0.3877005347593583	0.4151291512915129	NaN	1.0	0.9993849938499385	0.0	187.0	813.0	
77000	false	NaN	0.39095744680851063	0.41933497536945813	NaN	1.0	1.0	0.0	188.0	812.0	
78000	false	NaN	0.3915343915343915	0.41800246609124536	NaN	1.0	1.0	0.0	189.0	811.0	
79000	false	NaN	0.39141414141414144	0.42082294264339154	NaN	1.0	1.0	0.0	198.0	802.0	
80000	false	NaN	0.3968253968253968	0.41676942046855736	NaN	1.0	0.9993834771886559	0.0	189.0	811.0	
81000	false	NaN	0.39893617021276595	0.4125615763546798	NaN	1.0	0.999384236453202	0.0	188.0	812.0	
82000	false	NaN	0.40555555555555556	0.4176829268292683	NaN	1.0	1.0	0.0	180.0	820.0	
83000	false	NaN	0.38823529411764707	0.42048192771084336	NaN	1.0	1.0	0.0	170.0	830.0	
84000	false	NaN	0.40782122905027934	0.42935444579780757	NaN	0.9972067039106145	1.0	0.0	179.0	821.0	
85000	false	NaN	0.4081081081081081	0.4343558282208589	NaN	1.0	1.0	0.0	185.0	815.0	
86000	false	NaN	0.40691489361702127	0.42980295566502463	NaN	1.0	0.999384236453202	0.0	188.0	812.0	
87000	false	NaN	0.3852040816326531	0.42412935323383083	NaN	1.0	1.0	0.0	196.0	804.0	
88000	false	NaN	0.40053763440860213	0.4312039312039312	NaN	1.0	0.9993857493857494	0.0	186.0	814.0	
89000	false	NaN	0.3978494623655914	0.42874692874692877	NaN	1.0	1.0	0.0	186.0	814.0	
90000	false	NaN	0.3868421052631579	0.42160493827160495	NaN	1.0	1.0	0.0	190.0	810.0	
91000	false	NaN	0.35792349726775957	0.4112607099143207	NaN	1.0	1.0	0.0	183.0	817.0	
92000	false	NaN	0.3559322033898305	0.41008505467800727	NaN	1.0	1.0	0.0	177.0	823.0	
93000	false	NaN	0.3521505376344086	0.40171990171990174	NaN	1.0	1.0	0.0	186.0	814.0	
94000	false	NaN	0.37362637362637363	0.4132029339853301	NaN	1.0	1.0	0.0	182.0	818.0	
95000	false	NaN	0.37222222222222223	0.4176829268292683	NaN	1.0	1.0	0.0	180.0	820.0	
96000	false	NaN	0.378698224852071	0.42478941034897716	NaN	1.0	1.0	0.0	169.0	831.0	
97000	false	NaN	0.38414634146341464	0.43361244019138756	NaN	1.0	1.0	0.0	164.0	836.0	
98000	false	NaN	0.3675496688741722	0.42638398115429915	NaN	1.0	1.0	0.0	151.0	849.0	
99000	false	NaN	0.40217391304347827	0.43387470997679817	NaN	1.0	0.9988399071925754	0.0	138.0	862.0	
