% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .01, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%basevig = [.01, .05, .1]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	basevig	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, r, .01]
83000	.01	r	0.011489303631572958	0.4833828918600751	0.49553467409832674	0.9885106963227249	0.9810736168097743	0.9182133761872053	0.088	0.088	0.344	527.0	459.0	14.0	
84000	.01	r	0.00880348506846128	0.4864063846317497	0.49553467409832674	0.9911965148831955	0.9928999618893761	0.9677624501141707	0.107	0.107	0.016	501.0	485.0	14.0	
85000	.01	r	0.01878580565476	0.48789992471890525	0.4725778948072838	0.9812141942942726	0.982152566679683	0.9429614978225462	0.129	0.129	0.101	477.0	512.0	11.0	
86000	.01	r	0.006834535150607929	0.4881843407730608	0.4699349222250248	0.9931654647950996	0.9952201180830773	0.963219032538533	0.121	0.121	0.291	450.0	540.0	10.0	
87000	.01	r	0.00497450695023742	0.4881277284030788	0.47605887107507644	0.9950254929952782	0.996656895707263	0.9602490765341388	0.04	0.04	0.091	451.0	539.0	10.0	
88000	.01	r	0.013791588362067177	0.48643537582473095	0.481583746980828	0.9862084115829375	0.9902239716236767	0.946290345231323	0.148	0.148	0.485	451.0	536.0	13.0	
89000	.01	r	0.02020536218582863	0.4870961635460146	0.48563493332906776	0.9797946377535908	0.9879220039817317	0.9243068369982068	0.154	0.154	0.324	412.0	570.0	18.0	
90000	.01	r	0.009007161998269547	0.4870461121812284	0.485236645869616	0.9909928379398811	0.9869515803079779	0.9023840093832175	0.176	0.176	0.685	405.0	576.0	19.0	
91000	.01	r	0.015484447959441905	0.4906352353638028	0.4844164595290391	0.9845155519788724	0.992354511691041	0.964672750850382	0.185	0.185	0.005	408.0	574.0	18.0	
92000	.01	r	0.012803004459514301	0.49094316007223915	0.485236645869616	0.9871969954763554	0.9841095678044117	0.9687123177929086	0.198	0.198	0.401	395.0	586.0	19.0	
93000	.01	r	0.02081215683661476	0.4925817552823834	0.49686205187521615	0.9791878430994074	0.9715035751426395	0.9611993771336319	0.169	0.169	0.222	398.0	582.0	20.0	
94000	.01	r	0.012824225053683195	0.4915250424914512	0.4951720659389658	0.9871757748788702	0.9928850407340404	0.9830356470408778	0.095	0.095	0.609	381.0	598.0	21.0	
95000	.01	r	0.0121045322061175	0.49134647870417203	0.4953915174871946	0.9878954677224275	0.9907762286071515	0.9597998674143354	0.064	0.064	0.073	362.0	616.0	22.0	
96000	.01	r	0.006924922948313985	0.49134113355358094	0.49711945212521613	0.9930750769699422	0.9922140305008491	0.942023146632858	0.12	0.12	0.306	318.0	662.0	20.0	
97000	.01	r	0.025436903590390653	0.4862173751912128	0.4975995434376801	0.9745630963243835	0.9710562311640036	0.949543682957083	0.16	0.16	1.419	306.0	670.0	24.0	
98000	.01	r	0.01056254546214727	0.4880344323989294	0.49612645967291563	0.98943745444664	0.9902902109255459	0.9174495004374396	0.169	0.169	0.468	287.0	687.0	26.0	
99000	.01	r	0.002691003690239584	0.4888176653290207	0.49612645967291563	0.9973089962123028	0.997672360221609	0.9922525652896138	0.044	0.044	0.025	270.0	704.0	26.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, n, .01]
0	.01	n	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	334.0	333.0	333.0	
1000	.01	n	0.044002702597964946	0.4975526522249947	0.5008041894563245	0.9559972974020463	0.958896948651261	0.7298226231410282	0.153	0.153	0.604	354.0	348.0	298.0	
2000	.01	n	0.031685898557810684	0.49536866319232953	0.5010900550743558	0.9683141014421899	0.9679011876948405	0.7659305850589848	0.163	0.163	0.759	358.0	339.0	303.0	
3000	.01	n	0.02680183806718161	0.49072172241975565	0.501956591497521	0.9731981619328225	0.9710194385132778	0.7858889380042918	0.173	0.173	1.244	359.0	334.0	307.0	
4000	.01	n	0.02376130596007257	0.48918307771624603	0.5010696216885033	0.9762386940399114	0.9749630805441036	0.794482561577821	0.143	0.143	0.409	346.0	351.0	303.0	
5000	.01	n	0.02496939026633375	0.4896721937965164	0.500385163395342	0.9750306097336273	0.9733386743500206	0.7957524411362349	0.151	0.151	0.306	349.0	350.0	301.0	
6000	.01	n	0.025850285823751252	0.4872938182973321	0.5001787749106577	0.9741497141761899	0.9793449017939633	0.7922381367770016	0.177	0.177	0.705	365.0	337.0	298.0	
7000	.01	n	0.027113600316515787	0.4866427694218732	0.49873346289745113	0.9728863996833982	0.9783863722195405	0.7958905543709367	0.172	0.172	0.699	374.0	334.0	292.0	
8000	.01	n	0.024290878118476647	0.48453803430009595	0.49779057692408935	0.9757091218814087	0.9707193698857499	0.8059422313438234	0.178	0.178	0.769	374.0	342.0	284.0	
9000	.01	n	0.024934040135881064	0.4869927888030859	0.49715518130263553	0.9750659598640087	0.9763503205362893	0.8186831045155287	0.168	0.168	0.276	373.0	343.0	284.0	
10000	.01	n	0.022534906008744037	0.4864709336488849	0.496085861154958	0.9774650939911926	0.978005390383581	0.8238156434169938	0.185	0.185	0.584	370.0	354.0	276.0	
11000	.01	n	0.025748711125372994	0.4842276187986122	0.4973204332076028	0.9742512888745528	0.9733682832861602	0.8306613818635189	0.209	0.209	1.176	374.0	360.0	266.0	
12000	.01	n	0.024642967302397206	0.4857305578190288	0.49667375184733975	0.9753570326975387	0.9731854789242448	0.8315037265616532	0.192	0.192	0.637	373.0	364.0	263.0	
13000	.01	n	0.0246241275614614	0.4842974147623468	0.49785672866210307	0.9753758724384285	0.9762722365699111	0.8430450173909642	0.165	0.165	0.68	385.0	359.0	256.0	
14000	.01	n	0.02137690276436986	0.4849488779632887	0.49785972710816856	0.9786230972355283	0.9809354636039747	0.8506658729049579	0.154	0.154	0.403	397.0	347.0	256.0	
15000	.01	n	0.025449142348044382	0.4823276410828389	0.49617792749982925	0.974550857651862	0.9759742975686694	0.8600689106995059	0.163	0.163	0.845	396.0	363.0	241.0	
16000	.01	n	0.02180455738093282	0.4839537892832758	0.49373113179244427	0.9781954426189343	0.9791443820973327	0.8331293884862434	0.179	0.179	0.8	393.0	354.0	253.0	
17000	.01	n	0.02159277294499525	0.48378501159952925	0.4949395978595684	0.9784072270548456	0.9741443878232909	0.8533907217116551	0.16	0.16	0.702	397.0	361.0	242.0	
18000	.01	n	0.02558349907382094	0.48531304072120757	0.4947937327523288	0.974416500925993	0.974138314452267	0.8342988988972858	0.189	0.189	0.691	391.0	367.0	242.0	
19000	.01	n	0.02493061029481165	0.48691566318765284	0.49472636452332797	0.9750693897050294	0.9793544392110545	0.8360636132270235	0.143	0.143	0.145	395.0	368.0	237.0	
20000	.01	n	0.02278091712716764	0.4855824265998341	0.494565241914597	0.977219082872673	0.9825358997264166	0.8481504948283299	0.142	0.142	0.628	417.0	368.0	215.0	
21000	.01	n	0.024358389129605848	0.48628366039519993	0.4967067915060835	0.9756416108702407	0.9781105022317786	0.8489387874718178	0.184	0.184	0.402	406.0	390.0	204.0	
22000	.01	n	0.023111057757814857	0.48640238823888715	0.5001525208013874	0.9768889422420609	0.9746593910428399	0.8601313070136314	0.175	0.175	0.596	413.0	395.0	192.0	
23000	.01	n	0.027625665103820196	0.4879032107194165	0.49941131883800005	0.9723743348960531	0.9794206034597175	0.8740415330417789	0.169	0.169	0.395	431.0	384.0	185.0	
24000	.01	n	0.026621015155469642	0.4868072010873447	0.4985424597999006	0.9733789848443951	0.9768878591130025	0.8683190357749009	0.163	0.163	0.441	431.0	388.0	181.0	
