% Base Parameters: Dims = 5, predfreq = .1, huntsteps = 1000, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 3, basevig = .001, vigilance = true, vigprop = .3, indvprop = .3, mutrate = .001, fthresh = 150, stayforage = 1, foragediff = .01, localbirth = false, minlifespan = 200, lifespanrange = 0, learnalg = n, lrate = .001, 

% Test Parameters:
%learnalg = [n, r]
%lrate = [.001, .01, .1]
% 	Parameters		Results
Seed	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
5	r	.01	0.3448813084591727	0.450677642437385	0.5277821150631283	0.6551186915408274	0.6260277689269047	0.4425269449163991	0.0	0.0	0.0	0.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8926174496644296	1.0	1.0	1.0	
6	r	.01	0.4251255579717292	0.5606957475385985	0.6999166760009082	0.5748744420282708	0.5827644179734273	0.5089789703914893	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6241610738255033	1.0	1.0	1.0	
7	r	.01	0.36740761567246744	0.5025984519955146	0.6074620038393698	0.6325923843275325	0.5994129492078688	0.5000395751771177	0.0	0.0	0.0	1.0	2.0	3.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7315436241610739	1.0	1.0	1.0	
8	r	.01	0.4066241953742696	0.5208843268281211	0.6265775495298997	0.5933758046257305	0.5513593701499815	0.5085879029270575	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5906040268456376	1.0	1.0	1.0	
9	r	.01	0.4618643132945426	0.6052817808595975	0.7379471049644454	0.5381356867054574	0.5556270936155108	0.519475890379299	0.0	0.0	0.0	1.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6442953020134228	1.0	1.0	1.0	
0	r	.1	0.08243833043956207	0.04429127020940873	0.4826933964020902	0.9175616695604379	0.6604955078386539	0.5884191576553566	0.0	0.0	0.0	0.0	0.0	3.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
1	r	.1	0.6650230131872751	0.5784679724639425	0.8293910272404076	0.3349769868127249	0.5276348397874362	0.46189914552947753	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.4563758389261745	1.0	1.0	1.0	
2	r	.1	0.6282425406350456	0.4505457729905662	0.8406194448748534	0.3717574593649544	0.7168824237375013	0.6296214786698608	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6308724832214765	1.0	1.0	1.0	
3	r	.1	0.669672093270652	0.5341238376444843	0.708684145907567	0.330327906729348	0.7371426023200868	0.7931070966661611	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.4161073825503356	1.0	1.0	1.0	
4	r	.1	0.4738331613810398	0.581999176757158	0.6275252354487688	0.5261668386189602	0.7010310778073768	0.7399186537751543	0.0	0.0	0.0	1.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6644295302013423	1.0	1.0	1.0	
5	r	.1	0.6776051678718847	0.5965036962187161	0.20339465185402275	0.32239483212811526	0.5426475944226271	0.3576871583970396	0.0	0.0	0.0	0.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.610738255033557	1.0	1.0	1.0	
6	r	.1	0.4132416515335742	0.6554791553277438	0.879598033984586	0.5867583484664258	0.7404426429637843	0.561938108830328	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.4563758389261745	1.0	1.0	1.0	
7	r	.1	0.4951185849891872	0.423857080289458	0.4837991438543455	0.5048814150108127	0.7590864190357005	0.4016535713549153	0.0	0.0	0.0	6.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7718120805369127	1.0	1.0	1.0	
8	r	.1	0.4540111730672962	0.39381530851494234	0.5317799097366362	0.5459888269327038	0.7994360450450944	0.5676932338865655	0.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7516778523489933	1.0	1.0	1.0	
9	r	.1	0.2949722298484828	0.6017350696737264	0.8308998354161822	0.7050277701515172	0.6696813618038068	0.3826814429136529	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6442953020134228	1.0	1.0	1.0	
