% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
3	.001	1	.5	.5	0.2915269736947215	0.499999999999849	0.5004093612594629	0.7084730263055786	0.5843998448917762	0.42060861289621665	1.8436191449006842	1.418137702845375	1.7746502920496985	14803.387637466347	14467.861845213967	14806.921804748514	0.05876046901172529	7.971658291457286	2.010753768844221	268.0	1.0	731.0	
4	.001	1	.5	.5	0.29421802583563994	0.49977947963420893	0.5000006470221114	0.7057819741643153	0.6947021106843405	0.4355480698373906	1.7831959728036473	1.598240622327218	1.7807726240508837	14805.467647822588	14811.305417802952	14812.706223308749	0.0590284757118928	7.9668676716917926	1.691256281407035	356.0	71.0	573.0	
5	.001	1	.5	.5	0.28906568342712247	0.4998399767760308	0.49999999999999895	0.7109343165731634	0.7075987901898506	0.48481390590930395	1.6505151595713101	1.6837183203406563	1.7282372058830626	14805.487510074687	14796.612005002453	14816.651164050903	0.056080402010050254	7.980971524288107	1.7123953098827471	296.0	578.0	124.0	
6	.001	1	.5	.5	0.2929707462102654	0.4999007262319836	0.499999999999992	0.7070292537897653	0.7064087041606383	0.5027115305340374	1.6394530649707146	1.6436853105778855	1.841832815634999	14813.180768068321	14810.23319873645	14813.100929190894	0.059932998324958124	7.979396984924623	1.9867671691792295	639.0	255.0	105.0	
7	.001	1	.5	.5	0.2934057220772245	0.49649994576663864	0.5000381134736837	0.7065942779229861	0.7159715833388586	0.4581070628437711	1.773722557030938	1.6463096026899242	1.7738618201723888	14805.540025132468	14803.861782582562	14804.46012235034	0.058894472361809044	7.982981574539363	2.002881072026801	348.0	227.0	425.0	
8	.001	1	.5	.5	0.2934242889465837	0.49925820936339543	0.5004535929120267	0.7065757110536249	0.7126717501061902	0.46637514034701727	1.654070905354819	1.6932866205367068	1.8337768452794772	14807.319237082567	14809.384333546532	14803.587420340811	0.05745393634840871	7.9688442211055275	2.2893467336683417	231.0	523.0	246.0	
9	.001	1	.5	.5	0.29335987890863807	0.4985285327408919	0.5002279088577751	0.7066401210917002	0.7093414795248524	0.46891260600053974	1.672507784833516	1.744601094763098	1.811783432359604	14806.982639594884	14809.427058430114	14798.350739111887	0.05731993299832496	7.9828140703517585	1.9286767169179229	395.0	280.0	324.0	
10	.001	1	.5	.5	0.2946815644506529	0.4994520368994648	0.5008575339965338	0.7053184355493213	0.7039216898561974	0.4563684539963259	1.819704123657828	1.8290883782710734	2.025869995168378	14810.368610274912	14809.70061511902	14811.234271964146	0.06412060301507538	7.98214405360134	2.8539028475711894	342.0	190.0	468.0	
1	.001	1	.5	1	0.29058184803069315	0.49933822119260146	-Infinity	0.7094181519694642	0.7065304956589423	Infinity	1.7824412437356703	1.5669171672600783	0.6263131522638183	4321.273704219245	4334.934668044971	5194.114043082325	0.05675041876046901	7.9771859296482415	1.2205025125628142	499.0	501.0	0.0	
2	.001	1	.5	1	0.28628408211780615	0.4999999999999999	0.500000000000032	0.7137159178821447	0.7104476816528502	0.46950127588270296	1.7085690452459446	1.7332718458752814	2.675170736313288	4320.889797506033	4330.593887659998	6614.899387169142	0.057922948073701845	7.973802345058626	0.9672026800670017	680.0	318.0	2.0	
3	.001	1	.5	1	0.29017464025305284	0.4995877867796254	-Infinity	0.7098253597471123	0.7070439573511836	-Infinity	1.7304927663001834	1.784051716127144	0.7509582396921888	4319.6141017029195	4328.974808462301	5568.1899300459445	0.05772194304857622	7.9799664991624795	1.0024120603015076	604.0	396.0	0.0	
4	.001	1	.5	1	0.2971212621425582	0.5000000000000026	-Infinity	0.702878737857657	0.7177481421885695	-Infinity	1.6329981005596803	1.8432686600883001	0.9556564003488615	4323.462297975678	4331.759432693315	5600.7217865464945	0.05641541038525963	7.974974874371859	1.3869011725293132	961.0	39.0	0.0	
5	.001	1	.5	1	0.289942250430904	0.49855625197411163	0.4999999999999778	0.7100577495695531	0.7010830501290002	0.47514147295344794	1.6582612955054616	1.6439433573775712	1.905284443654208	4321.378442286107	4334.7442833666655	5099.53604632459	0.05611390284757119	7.976649916247906	1.0038860971524288	782.0	216.0	1.0	
6	.001	1	.5	1	0.29577868582534916	0.4995140017512449	0.4999999999999929	0.7042213141745899	0.7125635267486522	0.5339296118128656	1.8335219298504755	1.7989171310369383	2.3633500631396602	4323.457715798238	4335.173140516655	5395.356481479484	0.06154103852596315	7.979497487437186	1.6130318257956449	764.0	231.0	5.0	
7	.001	1	.5	1	0.2927526722079393	0.4995393713447046	-Infinity	0.7072473277920203	0.7022001312329643	-Infinity	1.6941764457632627	1.741881799394805	2.1353144009919887	4324.320671746983	4253.722298692833	5847.674557638778	0.0566499162479062	7.980536013400335	0.3968174204355109	845.0	154.0	0.0	
8	.001	1	.5	1	0.2907884124972259	0.49716950053880116	-Infinity	0.7092115875025062	0.7123570039514618	-Infinity	1.7024477119232266	1.7133307664491537	0.7383184175986522	4322.378716510631	4338.041370231672	5360.54463102886	0.057420435510887775	7.983986599664991	1.740067001675042	488.0	512.0	0.0	
9	.001	1	.5	1	0.29899968554524603	0.49760839847085736	0.4999999999999991	0.7010003144549245	0.7088179993687143	0.48311594291807614	1.7630427080909936	1.7893158794409567	0.9511856986463082	4327.744083108544	4335.899892249541	6282.492773269723	0.059463986599664995	7.978257956448911	1.4635175879396984	627.0	371.0	2.0	
10	.001	1	.5	1	0.2956296167472517	0.500207900139152	0.5000000000000071	0.7043703832529505	0.7040448325271239	0.5004251093736876	1.719202255157813	1.6895141978623978	1.0205044416241535	4322.813933759813	4328.502006661268	5772.401066598607	0.0576214405360134	7.9734673366834175	1.4803350083752094	463.0	533.0	4.0	
1	.001	1	1	.1	0.25702598211501454	NaN	0.5005315425179703	0.742974017885391	-Infinity	0.3933290731617775	2.344450749630714	1.4276952565471903	1.8970616477922742	9926.187488948595	10786.711305464449	10439.030454540394	0.06341708542713567	7.971892797319933	3.5202680067001677	2.0	0.0	998.0	
2	.001	1	1	.1	0.3596099150214757	0.5000000000000244	0.5008185749853363	0.6403900849772451	0.6613796707834149	0.3948236806561537	0.7744327700150277	0.3611544468574189	1.8647190823868174	10114.428321622963	9235.958049761133	10430.689398824092	0.06261306532663316	7.972696817420435	3.6262646566164154	1.0	2.0	996.0	
3	.001	1	1	.1	Infinity	-Infinity	0.5001679351993467	-Infinity	-Infinity	0.3908632185673229	0.5554868611052853	0.020238795556710182	1.9017075266374786	10174.148116947035	10555.590739920397	10438.170971844407	0.06365159128978225	7.989815745393635	3.4591624790619764	0.0	0.0	998.0	
4	.001	1	1	.1	Infinity	0.500000000000024	0.49972338749256917	-Infinity	0.7131222386757559	0.39068924649027215	0.522378770403743	2.0152035701209963	1.899417121132103	8953.84358022449	10763.246465892493	10423.298206204398	0.06365159128978225	7.986331658291458	3.945326633165829	0.0	1.0	999.0	
5	.001	1	1	.1	Infinity	0.49999999999998906	0.5006996997455936	Infinity	0.800388310503819	0.3979612748250256	1.515080741529129	0.9113931337694794	1.8235424560637814	11603.74337810913	10800.462520045381	10444.069733873326	0.06113902847571189	7.987805695142378	3.5537688442211057	0.0	3.0	996.0	
6	.001	1	1	.1	-Infinity	-Infinity	0.5010167717870931	-Infinity	-Infinity	0.3918156228755954	1.5249485702271894	0.5324093144594891	1.8249414042198115	8319.001440931395	9490.574199801054	10435.914831363272	0.06120603015075377	7.97678391959799	4.004221105527638	0.0	0.0	997.0	
