% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
710000	false	NaN	0.41304347826086957	0.41457023060796644	NaN	1.0	0.999475890985325	0.0	46.0	954.0	
720000	false	NaN	0.41025641025641024	0.43548387096774194	NaN	1.0	0.9989594172736732	0.0	39.0	961.0	
730000	false	NaN	0.3888888888888889	0.4403526970954357	NaN	1.0	0.9989626556016598	0.0	36.0	964.0	
740000	false	NaN	0.4642857142857143	0.44907407407407407	NaN	1.0	1.0	0.0	28.0	972.0	
750000	false	NaN	0.4230769230769231	0.43704474505723206	NaN	1.0	0.9994797086368367	0.0	39.0	961.0	
760000	false	NaN	0.44	0.4421052631578947	NaN	1.0	1.0	0.0	50.0	950.0	
770000	false	NaN	0.41346153846153844	0.42457805907172996	NaN	1.0	1.0	0.0	52.0	948.0	
780000	false	NaN	0.42424242424242425	0.4271948608137045	NaN	1.0	1.0	0.0	66.0	934.0	
790000	false	NaN	0.42857142857142855	0.41568836712913554	NaN	1.0	1.0	0.0	63.0	937.0	
800000	false	NaN	0.43478260869565216	0.4522019334049409	NaN	1.0	1.0	0.0	69.0	931.0	
810000	false	NaN	0.38596491228070173	0.4247083775185578	NaN	1.0	1.0	0.0	57.0	943.0	
820000	false	NaN	0.35507246376811596	0.41729323308270677	NaN	1.0	0.9994629430719656	0.0	69.0	931.0	
830000	false	NaN	0.4166666666666667	0.44574468085106383	NaN	1.0	1.0	0.0	60.0	940.0	
840000	false	NaN	0.38	0.42105263157894735	NaN	1.0	1.0	0.0	50.0	950.0	
850000	false	NaN	0.4479166666666667	0.43014705882352944	NaN	1.0	1.0	0.0	48.0	952.0	
860000	false	NaN	0.4166666666666667	0.4195876288659794	NaN	1.0	1.0	0.0	30.0	970.0	
870000	false	NaN	0.38461538461538464	0.42813141683778233	NaN	1.0	1.0	0.0	26.0	974.0	
