% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% 	Parameters			Results
Timestep	vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
50000	true	n	.05	0.0074583591437669345	0.47641708382788583	0.48533372136062514	0.9925416408561347	0.9903638870930924	0.9521851767195217	258.0	494.0	248.0	
60000	true	n	.05	0.006282014844355746	0.47064840639714617	0.4903616440758951	0.9937179851555201	0.9921146399907805	0.9516457902083952	235.0	508.0	257.0	
70000	true	n	.05	0.011048733697192371	0.46207073535424803	0.4928024606132379	0.9889512663026583	0.9916384283950426	0.9630233356032385	264.0	476.0	260.0	
80000	true	n	.05	0.007651659684508906	0.4612222794103123	0.4885786520188035	0.9923483403154351	0.9932495981851842	0.9593625248467003	285.0	470.0	245.0	
90000	true	n	.05	0.008870744245815068	0.4652903253394919	0.4836030124796869	0.991129255754004	0.9922669169471118	0.9624052117499369	306.0	484.0	210.0	
100000	true	n	.05	0.00775887374858735	0.4722432614417047	0.48881580230207755	0.992241126251264	0.9908347543214622	0.9564739088564549	283.0	515.0	202.0	
110000	true	n	.05	0.006748503559942215	0.4661742748573093	0.4822056006649145	0.993251496439939	0.9900010435289155	0.9619801934473523	310.0	489.0	201.0	
120000	true	n	.05	0.007902700798764964	0.46112370227837507	0.48486481977549983	0.9920972992009858	0.9935821871053144	0.9662190489233967	305.0	533.0	162.0	
130000	true	n	.05	0.009345144367886202	0.4582880444154325	0.4867230119278647	0.9906548556319631	0.9906442332371087	0.9616489675497369	325.0	476.0	199.0	
140000	true	n	.05	0.008722209513563913	0.4651574443745403	0.4850908344416449	0.9912777904862654	0.9922132104108224	0.9596865838475847	327.0	472.0	201.0	
150000	true	n	.05	0.011588775882047918	0.4596298990944389	0.4810447126629589	0.988411224117658	0.9885666761322506	0.9518043389598233	312.0	461.0	227.0	
160000	true	n	.05	0.009167804670276869	0.4663420560691343	0.4690531665981237	0.9908321953294859	0.9911815829566952	0.95091211971643	343.0	425.0	232.0	
170000	true	n	.05	0.006395117146780759	0.4711564222863589	0.48216770806775244	0.9936048828532102	0.9920840723813119	0.9600412157278989	375.0	433.0	192.0	
180000	true	n	.05	0.005351983034515812	0.47288937215841403	0.48170038244323077	0.9946480169654686	0.9953013192342242	0.9748733319207538	405.0	392.0	203.0	
190000	true	n	.05	0.007617489945540821	0.46578010507735557	0.4803122012137639	0.9923825100543384	0.9928541317857216	0.9567816625532352	409.0	362.0	229.0	
200000	true	n	.05	0.010360147534282469	0.47610807651230774	0.4788450727283724	0.9896398524655895	0.990003226955401	0.9545870761569076	423.0	366.0	211.0	
210000	true	n	.05	0.005121940391373511	0.47142509881208483	0.48430660407442966	0.9948780596085587	0.9939233065134457	0.9717491528419598	414.0	363.0	223.0	
220000	true	n	.05	0.007700522848613127	0.46696236477902625	0.48524449543932724	0.9922994771513858	0.9931610325123381	0.9592643639699022	403.0	373.0	224.0	
230000	true	n	.05	0.007957659726217058	0.47709825626697766	0.4838264337834465	0.9920423402739039	0.9940606283245457	0.9615821579366252	426.0	385.0	189.0	
240000	true	n	.05	0.005316786888473209	0.47574392466720616	0.4857293514033057	0.9946832131117229	0.9942978279708561	0.9808770732390076	431.0	404.0	165.0	
250000	true	n	.05	0.008989314060657264	0.45597341366663546	0.4815380589215347	0.9910106859395913	0.9888099329626558	0.9582178428130103	401.0	438.0	161.0	
260000	true	n	.05	0.00685557257409591	0.4685464133630531	0.4761356963201521	0.9931444274262624	0.9935563768849643	0.9669677864005033	401.0	426.0	173.0	
270000	true	n	.05	0.007210849788783445	0.47180654542232076	0.46380473747433193	0.9927891502115441	0.9916391761091737	0.9694277824484319	424.0	418.0	158.0	
280000	true	n	.05	0.01219403106013069	0.4640420340962169	0.4795776984645786	0.9878059689402122	0.9897483781534627	0.961435905028548	387.0	444.0	169.0	
290000	true	n	.05	0.008422712758318036	0.47114573870836984	0.4826142852565866	0.9915772872420081	0.9913583850189105	0.9745209355858186	383.0	440.0	177.0	
300000	true	n	.05	0.006433726722816411	0.47230255537963023	0.48623316384831705	0.9935662732775843	0.992112463535984	0.9517124169589949	355.0	449.0	196.0	
310000	true	n	.05	0.006972095671701117	0.4732598595024598	0.48112424544096255	0.9930279043286956	0.9926967872403668	0.9611812145241262	324.0	478.0	198.0	
320000	true	n	.05	0.01040501115168472	0.46405955770674384	0.49780725611588017	0.9895949888487621	0.9910298056318045	0.9414081877935411	307.0	454.0	239.0	
330000	true	n	.05	0.00799146419998091	0.4646061270881805	0.4824790366640595	0.9920085358004295	0.9888196917207018	0.9424919990224045	319.0	463.0	218.0	
340000	true	n	.05	0.006442662085732668	0.4677744312537613	0.490358215238686	0.9935573379148673	0.9916351034204024	0.9693319952283207	264.0	518.0	218.0	
350000	true	n	.05	0.008778982079419436	0.46425737025206204	0.48326276351439523	0.9912210179211921	0.9889318222414358	0.9448069514650714	249.0	539.0	212.0	
360000	true	n	.05	0.005589301551910686	0.4658819780779635	0.47660099132546857	0.9944106984488421	0.9915732132104654	0.9642330937588687	233.0	556.0	211.0	
370000	true	n	.05	0.008531472382448837	0.46587754770397366	0.4866644363208255	0.9914685276182549	0.9911964039932778	0.9609419678765224	236.0	583.0	181.0	
380000	true	n	.05	0.006732393499288823	0.4576147151815978	0.4872630564011466	0.9932676065015503	0.9920868111097474	0.962637981323109	211.0	595.0	194.0	
390000	true	n	.05	0.008221231670327353	0.4520601412905615	0.48482755726658694	0.9917787683306211	0.993666826164343	0.9658101401372404	191.0	590.0	219.0	
400000	true	n	.05	0.011309236433460304	0.461644715460841	0.4789451067744357	0.988690763567834	0.9932795377912993	0.9473112762301434	146.0	649.0	205.0	
410000	true	n	.05	0.009851358733597465	0.4656214607262026	0.47856562144307757	0.9901486412676037	0.992538850702224	0.9618080928516975	158.0	664.0	178.0	
420000	true	n	.05	0.007246582855714068	0.46436897841028707	0.48723438535246494	0.9927534171458678	0.9917595979645939	0.9652659621860981	126.0	683.0	191.0	
430000	true	n	.05	0.011210882927593164	0.47148199407418895	0.4825318072788856	0.9887891170738469	0.9906840188067151	0.9660704793099967	140.0	655.0	205.0	
440000	true	n	.05	0.008936252650092284	0.46416748093620747	0.4833280787323778	0.991063747351364	0.990623028255263	0.9587220159708983	143.0	670.0	187.0	
450000	true	n	.05	0.006510086520472931	0.46988355106822094	0.4802893662963378	0.993489913480989	0.9923958194559458	0.9603823276089416	146.0	677.0	177.0	
460000	true	n	.05	0.007038863605290091	0.4632466995359521	0.4808753176190874	0.9929611363959503	0.9929723676216335	0.9641603023276829	170.0	673.0	157.0	
470000	true	n	.05	0.012066065192652848	0.4695741712558286	0.4818300431012139	0.9879339348082693	0.9921927071707487	0.9584919690937656	219.0	653.0	128.0	
480000	true	n	.05	0.00899242172145257	0.46529189324356973	0.4891050282599534	0.9910075782794454	0.9931646193565721	0.9653879220620549	189.0	698.0	113.0	
490000	true	n	.05	0.006731450522738914	0.46700085717725853	0.491228980441906	0.9932685494782892	0.993042512620811	0.9805258175702101	175.0	715.0	110.0	
500000	true	n	.05	0.009218941355230645	0.46020680069170977	0.48315048404547356	0.9907810586460958	0.9915941868017378	0.9697056769687812	149.0	735.0	116.0	
510000	true	n	.05	0.009844158186391092	0.47072939834050204	0.482082019334178	0.9901558418147046	0.9919670431779304	0.9527328159450734	176.0	683.0	141.0	
520000	true	n	.05	0.005459599510543878	0.4771753398325729	0.4953020456814964	0.9945404004907061	0.993679491107991	0.9766289211471246	154.0	703.0	143.0	
530000	true	n	.05	0.00547401100435414	0.47099418758128037	0.4884429996222829	0.9945259889967968	0.9924767725352611	0.969807593834317	158.0	694.0	148.0	
540000	true	n	.05	0.009081071573797063	0.4571912531209865	0.48806209582477955	0.9909189284272354	0.9925658235920369	0.9704938000372039	189.0	684.0	127.0	
550000	true	n	.05	0.006667131587377244	0.4580029249053045	0.47869258580854507	0.9933328684137431	0.9916451478589601	0.9747742602993641	169.0	725.0	106.0	
560000	true	n	.05	0.005739180032712591	0.4693475123597448	0.4888800484901428	0.9942608199683883	0.9938606633847125	0.9791830516967485	163.0	777.0	60.0	
570000	true	n	.05	0.008567549802484524	0.4635564204627287	0.49971287121532987	0.9914324501988399	0.9917679863303023	0.9716817686823702	136.0	810.0	54.0	
580000	true	n	.05	0.010002262028957935	0.46279313907870945	0.5067741453571885	0.9899977379723145	0.9902048878740057	0.9659093226521859	147.0	822.0	31.0	
590000	true	n	.05	0.00872521482948763	0.4656434700927784	0.4938146488986688	0.9912747851719118	0.9915924592676262	0.9786404055926572	142.0	810.0	48.0	
600000	true	n	.05	0.00755070803583265	0.4666288909292358	0.4987986862137298	0.9924492919656445	0.9912702359131473	0.9676418115467537	139.0	812.0	49.0	
610000	true	n	.05	0.0108699201807066	0.47214672865787494	0.49734960707950615	0.989130079821197	0.9910637487510195	0.9581511114857847	113.0	832.0	55.0	
620000	true	n	.05	0.010462103623398477	0.4738031137398283	0.49058853728838414	0.9895378963785915	0.990470999587156	0.971757891810617	106.0	824.0	70.0	
630000	true	n	.05	0.0049312504627032	0.47059948835968196	0.4899190213098406	0.9950687495390883	0.9912145203597166	0.9786580529461377	117.0	826.0	57.0	
